# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
1219.9588006 0.0305180 -0.0004208 -0.000052016426994 0.000001380897577
1240.1007095 0.0305180 -0.0002887 -0.000057767084413 0.000002740718013
1259.9374380 0.0305180 -0.0004363 -0.000053431625296 0.000000368249066
1280.0793469 0.0305180 -0.0004760 -0.000061039295075 0.000001444583064
1299.9160754 0.0305180 -0.0005903 -0.000065129109922 0.000001194480416
1320.0579843 0.0305180 -0.0003451 -0.000066123661767 0.000000286121521
1339.8947127 0.0305180 -0.0004777 -0.000062329437942 0.000001336970516
1360.0366217 0.0305180 -0.0003444 -0.000061944936063 -0.000000587149531
1379.8733501 0.0305180 -0.0003065 -0.000063743071994 0.000000984551335
1400.0152590 0.0305180 -0.0001644 -0.000061095790179 0.000002412006944
1419.8519875 0.0305180 -0.0003945 -0.000064183386416 0.000002499063375
1439.9938964 0.0305180 -0.0004972 -0.000062876529038 0.000000519046786
1460.1358053 0.0305180 -0.0004371 -0.000065711495627 0.000001638497230
1479.9725338 0.0305180 -0.0005220 -0.000070462688761 0.000000569664350
1500.1144427 0.0305180 -0.0005202 -0.000076712004258 0.000002479356054
1519.9511711 0.0305180 -0.0007123 -0.000076740907937 0.000001613303579
1540.0930800 0.0305180 -0.0005952 -0.000075537222939 0.000001535778325
1559.9298085 0.0305180 -0.0004667 -0.000074802860599 0.000000922665059
1580.0717174 0.0305180 -0.0004270 -0.000074427129213 0.000003261685014
1599.9084459 0.0305180 -0.0006950 -0.000078664906393 0.000002282706946
1620.0503548 0.0305180 -0.0007634 -0.000083084134253 0.000001947536222
1639.8870832 0.0305180 -0.0006178 -0.000089113927227 0.000001384165292
1660.0289921 0.0305180 -0.0008996 -0.000082684553190 -0.000000744216587
1679.8657206 0.0305180 -0.0008706 -0.000086459772227 -0.000000251801412
1700.0076295 0.0305180 -0.0005500 -0.000084262903441 -0.000000367895450
1720.1495384 0.0305180 -0.0006621 -0.000081080126423 0.000001733418380
1739.9862669 0.0305180 -0.0007421 -0.000076849376328 0.000000689554764
1760.1281758 0.0305180 -0.0006275 -0.000079664456438 0.000002136948543
1779.9649042 0.0305180 -0.0004497 -0.000071861033338 0.000001719189165
1800.1068132 0.0305180 -0.0004422 -0.000069957653851 0.000000971156818
1819.9435416 0.0305180 -0.0003129 -0.000063853831838 0.000000298771213
1840.0854505 0.0305180 -0.0005386 -0.000066769788761 0.000001019509362
1859.9221790 0.0305180 -0.0005598 -0.000062061321452 0.000001813108208
1880.0640879 0.0305180 -0.0004221 -0.000058613162886 0.000000354183736
1899.9008164 0.0305180 -0.0001259 -0.000058317138363 0.000002018469656
1920.0427253 0.0305180 -0.0004768 -0.000055124885971 0.000000148373514
1939.8794537 0.0305180 -0.0003224 -0.000053922947905 -0.000000391811503
1960.0213626 0.0305180 -0.0002585 -0.000048283022723 -0.000000629457713
1979.8580911 0.0305180 -0.0003051 -0.000056626834080 -0.000000323866769
2000.0000000 0.0305180 -0.0002947 -0.000058774880400 0.000000691205949
2020.1419089 0.0305180 -0.0003940 -0.000058799078406 0.000001891652016
2039.9786374 0.0305180 -0.0004979 -0.000057145711694 0.000000599662358
2060.1205463 0.0305180 -0.0004802 -0.000058066608675 0.000000709958156
2079.9572747 0.0305180 -0.0002814 -0.000059832936812 -0.000000290269163
2100.0991836 0.0305180 -0.0003028 -0.000057771562174 0.000002499132688
2119.9359121 0.0305180 -0.0003978 -0.000064758790853 0.000001588834193
2140.0778210 0.0305180 -0.0002658 -0.000064691721934 0.000000505813804
2159.9145495 0.0305180 -0.0003631 -0.000062279431862 0.000000314972922
2180.0564584 0.0305180 -0.0004137 -0.000060035788293 -0.000000029626183
2199.8931868 0.0305180 -0.0004547 -0.000060776369453 0.000001572778747
2220.0350958 0.0305180 -0.0004180 -0.000064097051902 0.000001014861841
2239.8718242 0.0305180 -0.0004718 -0.000075878221273 0.000000201126283
2260.0137331 0.0305180 -0.0005601 -0.000081892446931 0.000000657990155
2279.8504616 0.0305180 -0.0008089 -0.000086694561904 0.000002458510348
2299.9923705 0.0305180 -0.0007212 -0.000084368477117 0.000002568673393
2320.1342794 0.0305180 -0.0004942 -0.000081041995841 0.000000460731912
2339.9710079 0.0305180 -0.0006687 -0.000090134952672 0.000000910830681
2360.1129168 0.0305180 -0.0006047 -0.000089629629348 0.000001189892811
2379.9496452 0.0305180 -0.0006342 -0.000091739428193 0.000000535881713
2400.0915541 0.0305180 -0.0006786 -0.000087155197481 0.000003233680059
2419.9282826 0.0305180 -0.0006127 -0.000080117154459 0.000000130464229
2440.0701915 0.0305180 -0.0005306 -0.000077925409577 0.000001150786554
2459.9069200 0.0305180 -0.0004240 -0.000076001940370 0.000002933171312
2480.0488289 0.0305180 -0.0005839 -0.000070102253897 0.000000717463385
2499.8855573 0.0305180 -0.0004139 -0.000071172335593 0.000000565738158
